x
539,LRTOMT
540,ZNF677
541,PALM2AKAP2
542,PLXNB1
543,LEF1
544,USP12
545,SYN1
546,PCLO
547,KIF2A
548,FAAP20
549,LYST
550,BABAM2
551,KCNJ6
552,KLHL15
553,SLC66A2
554,CD84
555,HIGD2A
556,MTPN
557,FLNA
558,RIT2
559,TBXA2R
560,FCN3
561,SYT1
562,PTPRM
563,PTK7
564,RBL2
565,FAM168A
566,UBE2V2
567,RAC1
568,YIF1B
569,YTHDC1
570,FCER2
571,MTMR9
572,LMLN
573,EIF4G3
574,FOLR1
575,STAU2
576,PLCE1
577,UBE2QL1
578,ZMYND8
579,ODF3B
580,TMEM19
581,HBE1
582,DNAJC8
583,CCNDBP1
584,SV2A
585,SLC2A13
586,RGMB
587,CSE1L
588,MUC1
589,ADAM23
590,DESI2
591,MRPL22
592,ALDH1L1
593,FBXO32
594,PDIA5
595,RAB3C
596,SFXN1
597,BACE1
598,SLITRK4
599,TUBA4A
600,ARL6IP1
601,PRKCE
602,PTP4A2
603,ZNF615
604,DDR1
605,ADIPOR2
606,MS4A6A
607,DIXDC1
608,YIPF5
609,GGA3
610,B4GAT1
611,FAM169A
612,PDE6D
613,TSPAN5
614,RAB11B-AS1
615,DUT
616,PPP1R32
617,SOX10
618,NT5C3A
619,MGC2889
620,GIGYF1
621,NUB1
622,TRMU
623,SH2D5
624,KIAA1217
625,YJU2B
626,ADD2
627,NEU3
628,STXBP5L
629,CHGB
630,TSPYL1
631,ZNF542P
